"District","District Code","Special Education Status","Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Students with Disabilities",34,29.6
"Amistad Academy District","=""2790013""","Students with Disabilities",32,48.5
"Andover School District","=""0010011""","Students with Disabilities","N/A","*"
"Ansonia School District","=""0020011""","Students with Disabilities",80,16.0
"Area Cooperative Educational Services","=""2440014""","Students with Disabilities",147,18.7
"Ashford School District","=""0030011""","Students with Disabilities","*","*"
"Avon School District","=""0040011""","Students with Disabilities",13,3.5
"Barkhamsted School District","=""0050011""","Students with Disabilities","*","*"
"Berlin School District","=""0070011""","Students with Disabilities",35,8.5
"Bethany School District","=""0080011""","Students with Disabilities","*","*"
"Bethel School District","=""0090011""","Students with Disabilities",53,13.0
"Bloomfield School District","=""0110011""","Students with Disabilities",44,11.5
"Bolton School District","=""0120011""","Students with Disabilities","*","*"
"Booker T. Washington Academy District","=""2950013""","Students with Disabilities","*","*"
"Bozrah School District","=""0130011""","Students with Disabilities","*","*"
"Branford School District","=""0140011""","Students with Disabilities",56,11.9
"Brass City Charter School District","=""2900013""","Students with Disabilities","*","*"
"Bridgeport Achievement First District","=""2850013""","Students with Disabilities",30,29.7
"Bridgeport School District","=""0150011""","Students with Disabilities",755,19.2
"Bristol School District","=""0170011""","Students with Disabilities",218,13.4
"Brookfield School District","=""0180011""","Students with Disabilities",31,7.7
"Brooklyn School District","=""0190011""","Students with Disabilities",12,9.2
"Canaan School District","=""0210011""","Students with Disabilities","*","*"
"Canterbury School District","=""0220011""","Students with Disabilities","*","*"
"Canton School District","=""0230011""","Students with Disabilities",16,7.8
"Capital Preparatory Harbor School Inc. District","=""2970013""","Students with Disabilities",12,37.5
"Capitol Region Education Council","=""2410014""","Students with Disabilities",224,14.1
"Chaplin School District","=""0240011""","Students with Disabilities","N/A","N/A"
"Cheshire School District","=""0250011""","Students with Disabilities",42,7.2
"Chester School District","=""0260011""","Students with Disabilities","N/A","N/A"
"Clinton School District","=""0270011""","Students with Disabilities",16,6.5
"Colchester School District","=""0280011""","Students with Disabilities",41,9.4
"Colebrook School District","=""0290011""","Students with Disabilities","*","*"
"Columbia School District","=""0300011""","Students with Disabilities","*","*"
"Common Ground High School District","=""2680013""","Students with Disabilities","*","*"
"Connecticut Technical High School System","=""9000016""","Students with Disabilities",162,16.1
"Cooperative Educational Services","=""2430014""","Students with Disabilities",33,9.0
"Cornwall School District","=""0310011""","Students with Disabilities","N/A","*"
"Coventry School District","=""0320011""","Students with Disabilities",15,5.5
"Cromwell School District","=""0330011""","Students with Disabilities",34,12.5
"Danbury School District","=""0340011""","Students with Disabilities",204,12.7
"Darien School District","=""0350011""","Students with Disabilities",18,2.3
"Deep River School District","=""0360011""","Students with Disabilities","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","Students with Disabilities","N/A","*"
"Derby School District","=""0370011""","Students with Disabilities",49,19.8
"East Granby School District","=""0400011""","Students with Disabilities",10,8.3
"East Haddam School District","=""0410011""","Students with Disabilities",6,3.8
"East Hampton School District","=""0420011""","Students with Disabilities",20,8.6
"East Hartford School District","=""0430011""","Students with Disabilities",217,16.0
"East Haven School District","=""0440011""","Students with Disabilities",58,12.9
"East Lyme School District","=""0450011""","Students with Disabilities",22,5.0
"East Windsor School District","=""0470011""","Students with Disabilities",23,10.5
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Students with Disabilities",31,17.5
"Eastford School District","=""0390011""","Students with Disabilities","*","*"
"Easton School District","=""0460011""","Students with Disabilities","*","*"
"EdAdvance","=""2420014""","Students with Disabilities","*","*"
"Ellington School District","=""0480011""","Students with Disabilities",51,13.9
"Elm City College Preparatory School District","=""2890013""","Students with Disabilities",12,20.7
"Elm City Montessori School District","=""2910013""","Students with Disabilities","N/A","*"
"Enfield School District","=""0490011""","Students with Disabilities",116,12.4
"Essex School District","=""0500011""","Students with Disabilities","*","*"
"Explorations District","=""2720013""","Students with Disabilities","*","*"
"Fairfield School District","=""0510011""","Students with Disabilities",57,4.1
"Farmington School District","=""0520011""","Students with Disabilities",15,2.8
"Franklin School District","=""0530011""","Students with Disabilities","*","*"
"Glastonbury School District","=""0540011""","Students with Disabilities",45,6.1
"Granby School District","=""0560011""","Students with Disabilities",27,10.2
"Great Oaks Charter School District","=""2940013""","Students with Disabilities",35,58.3
"Greenwich School District","=""0570011""","Students with Disabilities",65,5.8
